"police_officer","surveillance_operator","citizen","incident_date","camera_locations","incident_type","request_status","police_experience_years","observation_center_address","observation_center_phone"
"Литвиненко Олексій","Центр-1 Опер. Ірина","Київлянко Петро","2024-09-14","Майдан; Хрещатик-10","дрібне хуліганство","прийнято","6","м. Київ, вул. Правопорядку, 5","380441230101"
"Литвиненко Олексій","Центр-1 Опер. Ірина","Марченко Ганна","2024-09-14","Лукʼянівка-кам1; —","підозріла активність","в роботі","6","м. Київ, вул. Правопорядку, 5","380441230101"
"Литвиненко Олексій","Центр-1 Опер. Ірина","Малюк Данило","2024-09-15","Поштова пл.; Набережна","крадіжка","закрито","6","м. Київ, вул. Правопорядку, 5","380441230101"
"Романюк Вікторія","Центр-1 Опер. Ірина","Савчук Оксана","2024-09-15","Площа Перемоги","конфлікт","прийнято","8","м. Київ, вул. Правопорядку, 5","380441230101"
"Романюк Вікторія","Центр-2 Опер. Павло","Київлянко Петро","2024-09-16","Оболонь-кам2; ТРЦ-кам3","ДТП","в роботі","8","м. Київ, вул. Правопорядку, 5","380441230202"
"Романюк Вікторія","Центр-2 Опер. Павло","Марченко Ганна","2024-09-16","Поділ-кам1","підозріла активність","прийнято","8","м. Київ, вул. Правопорядку, 5","380441230202"
"Герасимчук Андрій","Центр-2 Опер. Павло","Малюк Данило","2024-09-17","Троєщина-кам5","дрібне хуліганство","закрито","5","м. Київ, вул. Правопорядку, 5","380441230202"
"Герасимчук Андрій","Центр-1 Опер. Ірина","Савчук Оксана","2024-09-17","Майдан; Глобус","втрата майна","прийнято","5","м. Київ, вул. Правопорядку, 5","380441230101"
"Литвиненко Олексій","Центр-2 Опер. Павло","Київлянко Петро","2024-09-18","Поштова пл.; Річковий","крадіжка","в роботі","6","м. Київ, вул. Правопорядку, 5","380441230202"
"Романюк Вікторія","Центр-1 Опер. Ірина","Марченко Ганна","2024-09-18","Хрещатик-10","конфлікт","закрито","8","м. Київ, вул. Правопорядку, 5","380441230101"
"Герасимчук Андрій","Центр-2 Опер. Павло","Малюк Данило","2024-09-19","Оболонь-кам1","ДТП","прийнято","5","м. Київ, просп. Безпеки, 15","380441230202"
"Литвиненко Олексій","Центр-1 Опер. Ірина","Савчук Оксана","2024-09-19","Лукʼянівка-кам1","дрібне хуліганство","закрито","6","м. Київ, вул. Правопорядку, 5","380441230101"
